Rank,Player,School,Position,NIL_Valuation,Whisper_Valuation,recruiting_rating,recruiting_stars,recruiting_rank,source
71,Donald Tabron,Michigan,QB,350000,0,,,,not_found
72,Albert Simien,LSU,IOL,350000,0,,,,not_found
73,Kennedy Brown,Houston,IOL,350000,0,,,,not_found
74,Jaiden Bryant,South Carolina,EDGE,346000,0,,,,not_found
75,Boobie Feaster,DeSoto,WR,343000,0,,,,not_found
76,Gunner Rivers,Alabama,QB,331000,0,,,,not_found
77,Kaden Henderson,Florida,LB,313000,0,,,,not_found
78,Xavier Sabb,Georgia,WR,313000,0,,,,not_found
79,Ian Premer,Kansas,TE,311000,0,,,,not_found
80,Tradon Bessinger,Utah,QB,310000,0,,,,not_found
81,Jake Hildebrand,Arizona,OT,307000,0,,,,not_found
82,Anthony Sweeney,Auburn,S,305000,0,,,,not_found
83,Nyck Harbor,South Carolina,WR,300000,500000,0.9865,5.0,20.0,cfbd_2023
84,Eugene Wilson,Florida,WR,295000,0,,,,not_found
85,Zachariah Branch,USC,WR,290000,400000,0.95,4.0,,transfer_portal
86,Johntay Cook,Texas,WR,285000,0,,,,not_found
87,Carnell Tate,Ohio State,WR,280000,0,0.9699,4.0,58.0,cfbd_2023
88,Makai Lemon,USC,WR,275000,0,0.9773,4.0,42.0,cfbd_2023
89,Sundiata Anderson,Grambling,EDGE,270000,0,,,,not_found
90,Chamon Metayer,Colorado,TE,265000,0,0.8933,4.0,367.0,cfbd_2021
91,Jerrin Thompson,Auburn,S,260000,0,0.9256,4.0,184.0,cfbd_2020
92,Woody Marks,USC,RB,255000,0,0.9369,4.0,138.0,cfbd_2020
93,Trevor Etienne,Georgia,RB,250000,350000,0.9261,4.0,190.0,cfbd_2022
94,Ollie Gordon,Oklahoma State,RB,245000,600000,,,,not_found
95,Tahj Brooks,Texas Tech,RB,240000,0,0.873,3.0,624.0,cfbd_2020
96,RJ Harvey,UCF,RB,235000,0,,,,not_found
97,Marcus Carroll,Missouri,RB,230000,0,0.8248,3.0,2038.0,cfbd_2020
98,Jordan James,Oregon,RB,225000,0,0.9224,4.0,196.0,cfbd_2022
99,Jaydon Blue,Texas,RB,220000,0,0.9226,4.0,195.0,cfbd_2022
100,Damari Alston,Auburn,RB,215000,0,0.8995,4.0,328.0,cfbd_2022
101,LeQuint Allen,Syracuse,RB,210000,0,0.8639,3.0,911.0,cfbd_2022
102,Kyle Monangai,Rutgers,RB,205000,0,0.8267,3.0,1965.0,cfbd_2020
103,Bhayshul Tuten,Virginia Tech,RB,200000,0,,,,not_found
104,Kaleb Johnson,Iowa,RB,195000,0,0.8889,3.0,435.0,cfbd_2022
105,DJ Giddens,Kansas State,RB,190000,0,,,,not_found
106,Jayden Harris,Texas,RB,185000,0,,,,not_found
